id_species,name_species,id_photo,slug,common_names_en,common_names_de,common_names_es,common_names_fr,scientific_name,taxonomy,id_category,tags
accipiter-cooperii,Cooper's Hawk,khm-20160320-1704-1458479062,coopers-hawk,Cooper's Hawk,Rundschwanzsperber,Gavilán de Cooper,Épervier de Cooper,Accipiter striatus,Accipitriformes|Accipitridae,birds,"birds, raptors"
accipiter-striatus,Sharp-shinned Hawk,khm-20170820-1409-1503223750,sharp-shinned-hawk,Sharp-shinned Hawk,Eckschwanzsperber,Gavilán americano,Épervier brun,Accipiter cooperi,Accipitriformes|Accipitridae,birds,"birds, raptors"
actitis-macularius,Spotted Sandpiper,khm-20170624-2034-1498322092,spotted-sandpiper,Spotted Sandpiper,Drosseluferläufer,"Andarríos maculado, Playero manchado",Chevalier grivelé,Actitis macularius,Charadriiformes|Scolopacidae,birds,"birds, shorebirds"
agelaius-phoeniceus,Red-winged Blackbird,khm-20170409-2038-1491755923,red-winged-blackbird,Red-winged Blackbird,Rotschulterstärling,Tordo sargento,Carouge à épaulettes,Agelaius phoeniceus,Passeriformes|Icteridae,birds,"birds, blackbird"
aglais-io,European Peacock,khm-20190506-1839-1557153547,european-peacock,European Peacock,Tagpfauenauge,Pavo real,Paon-du-jour,Aglais io,Lepidoptera|Nymphalidae,butterflies,"butterflies, brushfoots"
aix-sponsa,Wood Duck,khm-20131116-1932-1384612352,wood-duck,Wood Duck,Brautente,Pato joyuyo,Canard branchu,Aix sponsa,Anseriformes|Anatidae,birds,"birds, ducks"
anas-americana,American Wigeon,khm-20160417-1923-1460906631,american-wigeon,American Wigeon,Nordamerikanische Pfeifente,Silbón americano,Canard d'Amérique,Anas americana,Anseriformes|Anatidae,birds,"birds, ducks"
anas-carolinensis,Green Winged Teal,khm-20171028-2010-1509207034,green-winged-teal,Green Winged Teal,Amerikanische Krickente,Cerceta americana,Sarcelle à ailes vertes,Anas carolinensis,Anseriformes|Anatidae,birds,"birds, ducks"
anas-platyrhynchos,Mallard,khm-20190316-1714-1552742062,mallard,Mallard,Stockente,"Ánade real, Ánade azulón",Canard colvert,Anas platyrhynchos,Anseriformes|Anatidae,birds,"birds, ducks"
anas-rubripes,American Black Duck,khm-20200522-1452-0000106032,american-black-duck,American Black Duck,Dunkelente,Ánade sombrío,Canard noir,Anas rubripes,Anseriformes|Anatidae,birds,"birds, ducks"
anas-strepera,Gadwall,khm-20170429-1857-1493477820,gadwall,Gadwall,Schnatterente,Ánade friso,Canard chipeau,Anas strepera,Anseriformes|Anatidae,birds,"birds, ducks"
anaxyrus-americanus,American Toad,khm-20220604-1616-0000180440,american-toad,American Toad,Amerikanische Kröte,Sapo americano,Crapaud d'Amérique,Anaxyrus americanus,Anura|Bufonidae,amphibians,"amphibians, toads"
anser-caerulescens,Snow Goose,khm-20181104-2142-1541349729,snow-goose,Snow Goose,Schneegans,Ánsar nival,Oie des neiges,Anser caerulescens,Anseriformes|Anatidae,birds,"birds, geese"
anthus-rubescens,"Buff-bellied Pipit, American Pipit",khm-20180522-1247-1526978852,buff-bellied-pipit,"Buff-bellied Pipit, American Pipit",Pazifischer Wasserpieper,Bisbita norteamericano,Pipit d'Amérique,Anthus rubescens,Passeriformes|Motacillidae,birds,"birds, shorebirds"
archilochus-colubris,Ruby-throated Hummingbird,khm-20170723-1726-1500816406,ruby-throated-hummingbird,Ruby-throated Hummingbird,Rubinkehlkolibri,Colibrí de garganta roja,Colibri à gorge rubis,Archilochus colubris,Apodiformes|Trochilidae,birds,"birds, hummingbirds"
ardea-alba,Great Egret,khm-20160417-1845-1460904313,great-egret,Great Egret,Silberreiher,Garceta grande,Grande Aigrette,Ardea alba,Pelecaniformes|Ardeidae,birds,"birds, heron"
ardea-herodias,Great Blue Heron,khm-20160903-1931-1472916709,great-blue-heron,Great Blue Heron,Kanadareiher,Garza Azulada,Grand Héron,Ardea herodias,Pelecaniformes|Ardeidae,birds,"birds, heron"
balaenoptera-acutorostrata,Northern Minke Whale,khm-20210823-1613-0000102327,northern-minke-whale,Northern Minke Whale,Zwergwal,"Ballena de minke común, Ballena enana","Petit Rorqual, Baleine de Minke",Balaenoptera acutorostrata,Artiodactyla|Cetacea|Balaenopteridae,mammals,"marine mammals, whales"
balaenoptera-physalus,Fin Whale,khm-20210822-1634-0000101670,fin-whale,Fin Whale,Finnwal,"Rorcual común, Ballena de aleta",Rorqual commun,Balaenoptera physalus,Artiodactyla|Cetacea|Balaenopteridae,mammals,"marine mammals, whales"
bombycilla-cedrorum,Cedar Waxwing,khm-20140712-1705-1405170332,cedar-waxwing,Cedar Waxwing,Zedernseidenschwanz,Ampelis americano,Jaseur d'Amérique,Bombycilla cedrorum,Passeriformes|Bombycillidae,birds,"birds, waxwing"
bombycilla-garrulus,Bohemian Waxwing,khm-20150419-1612-1429445528,bohemian-waxwing,Bohemian Waxwing,Seidenschwanz,Ampelis europeo,Jaseur boréal,Bombycilla garrulus,Passeriformes|Bombycillidae,birds,"birds, waxwing"
branta-bernicla,Brant,khm-20180525-1621-1527250907,brant,Brant,Ringelgans,Barnacla carinegra,Bernache cravant,Branta bernicla,Anseriformes|Anatidae,birds,"birds, geese"
